,AIRCRAFT,ORIGIN,STD_MIN,STA_MIN,ATD_MIN,Distance_km,0,1,2,3
117,E145,BLR,27717310,27717375,27717312,463.8928171,0.0,1.0,1.0,0.0
118,E145,BLR,27715870,27715935,27715882,463.8928171,0.0,1.0,1.0,0.0
119,E145,BLR,27714430,27714495,27714537,463.8928171,0.0,1.0,1.0,0.0
120,E145,BLR,27712990,27713055,27713355,463.8928171,0.0,1.0,1.0,0.0
121,E145,BLR,27711640,27711705,27711640,463.8928171,0.0,1.0,1.0,0.0
122,E145,BLR,27710200,27710265,27710194,463.8928171,0.0,1.0,1.0,0.0
123,E145,BLR,27708670,27708735,27708676,463.8928171,0.0,1.0,1.0,0.0
124,E145,BLR,27707230,27707295,27707244,463.8928171,0.0,1.0,1.0,0.0
125,E145,BLR,27705790,27705855,27705808,463.8928171,0.0,1.0,1.0,0.0
126,E145,BLR,27704350,27704415,27704447,463.8928171,0.0,1.0,1.0,0.0
127,E145,BLR,27702910,27702975,27702908,463.8928171,0.0,1.0,1.0,0.0
128,E145,BLR,27701560,27701625,27701578,463.8928171,0.0,1.0,1.0,0.0
129,E145,BLR,27700120,27700185,27700138,463.8928171,0.0,1.0,1.0,0.0
130,E145,BLR,27698590,27698655,27698600,463.8928171,0.0,1.0,1.0,0.0
131,E145,BLR,27697150,27697215,27697194,463.8928171,0.0,1.0,1.0,0.0
132,E145,BLR,27695710,27695775,27695724,463.8928171,0.0,1.0,1.0,0.0
133,E145,BLR,27694270,27694335,27694371,463.8928171,0.0,1.0,1.0,0.0
134,E145,BLR,27692830,27692895,27692913,463.8928171,0.0,1.0,1.0,0.0
135,E145,BLR,27691480,27691545,27691502,463.8928171,0.0,1.0,1.0,0.0
136,E145,BLR,27690040,27690105,27690280,463.8928171,0.0,1.0,1.0,0.0
137,E145,BLR,27688510,27688575,27688531,463.8928171,0.0,1.0,1.0,0.0
138,E145,BLR,27687070,27687135,27687205,463.8928171,0.0,1.0,1.0,0.0
139,E145,BLR,27685630,27685695,27685637,463.8928171,0.0,1.0,1.0,0.0
140,E145,BLR,27684190,27684255,27684289,463.8928171,0.0,1.0,1.0,0.0
141,E145,BLR,27682750,27682815,27682951,463.8928171,0.0,1.0,1.0,0.0
142,E145,BLR,27681400,27681465,27681464,463.8928171,0.0,1.0,1.0,0.0
143,E145,BLR,27679960,27680025,27679990,463.8928171,0.0,1.0,1.0,0.0
144,E145,BLR,27678430,27678495,27678527,463.8928171,0.0,1.0,1.0,0.0
145,E145,BLR,27676990,27677055,27677147,463.8928171,0.0,1.0,1.0,0.0
146,E145,BLR,27675550,27675615,27675554,463.8928171,0.0,1.0,1.0,0.0
147,E145,BLR,27674110,27674175,27674135,463.8928171,0.0,1.0,1.0,0.0
148,E145,BLR,27672670,27672735,27672749,463.8928171,0.0,1.0,1.0,0.0
149,E145,BLR,27671320,27671385,27671317,463.8928171,0.0,1.0,1.0,0.0
150,E145,BLR,27669880,27669945,27669882,463.8928171,0.0,1.0,1.0,0.0
