,AIRCRAFT,DESTINATION,STD_MIN,STA_MIN,ATD_MIN,Distance_km,0,1,2,3
182,E145,BLR,27818560.0,27818625.0,27818585.0,463.8928171403542,0.0,1.0,1.0,0.0
183,E145,BLR,27816960.0,27817020.0,27816977.0,463.8928171403542,0.0,1.0,1.0,0.0
184,E145,BLR,27815520.0,27815580.0,27815489.0,463.8928171403542,0.0,1.0,1.0,0.0
185,E145,BLR,27814240.0,27814305.0,27814235.0,463.8928171403542,0.0,1.0,1.0,0.0
186,E145,BLR,27812640.0,27812700.0,27812618.0,463.8928171403542,0.0,1.0,1.0,0.0
187,E145,BLR,27811225.0,27811225.0,27811174.0,463.8928171403542,0.0,1.0,1.0,0.0
188,E145,BLR,27809760.0,27809820.0,27809764.0,463.8928171403542,0.0,1.0,1.0,0.0
189,E145,BLR,27808480.0,27808545.0,27808484.0,463.8928171403542,0.0,1.0,1.0,0.0
190,E145,BLR,27806880.0,27806940.0,27806886.0,463.8928171403542,0.0,1.0,1.0,0.0
191,E145,BLR,27805309.0,27805309.0,27805250.0,463.8928171403542,0.0,1.0,1.0,0.0
192,E145,BLR,27804160.0,27804225.0,27804170.0,463.8928171403542,0.0,1.0,1.0,0.0
193,E145,BLR,27802441.0,27802441.0,27802375.0,463.8928171403542,0.0,1.0,1.0,0.0
194,E145,BLR,27801280.0,27801345.0,27801290.0,463.8928171403542,0.0,1.0,1.0,0.0
195,E145,BLR,27799735.0,27799735.0,27799683.0,463.8928171403542,0.0,1.0,1.0,0.0
196,E145,BLR,27798104.0,27798104.0,27798054.0,463.8928171403542,0.0,1.0,1.0,0.0
197,E145,BLR,27796860.0,27796860.0,27796801.0,463.8928171403542,0.0,1.0,1.0,0.0
198,E145,BLR,27795438.0,27795438.0,27795382.0,463.8928171403542,0.0,1.0,1.0,0.0
199,E145,BLR,27794080.0,27794145.0,27794120.0,463.8928171403542,0.0,1.0,1.0,0.0
200,E145,BLR,27792541.0,27792541.0,27792490.0,463.8928171403542,0.0,1.0,1.0,0.0
201,E145,BLR,27790933.0,27790933.0,27790880.0,463.8928171403542,0.0,1.0,1.0,0.0
202,E145,BLR,27789669.0,27789669.0,27789614.0,463.8928171403542,0.0,1.0,1.0,0.0
203,E145,BLR,27788320.0,27788385.0,27788322.0,463.8928171403542,0.0,1.0,1.0,0.0
204,E145,BLR,27786780.0,27786780.0,27786725.0,463.8928171403542,0.0,1.0,1.0,0.0
205,E145,BLR,27785369.0,27785369.0,27785319.0,463.8928171403542,0.0,1.0,1.0,0.0
206,E145,BLR,27784000.0,27784065.0,27784034.0,463.8928171403542,0.0,1.0,1.0,0.0
207,E145,BLR,27782295.0,27782360.0,27782444.0,463.8928171403542,0.0,1.0,1.0,0.0
208,E145,BLR,27780855.0,27780920.0,27780857.0,463.8928171403542,0.0,1.0,1.0,0.0
209,E145,BLR,27779520.0,27779580.0,27779595.0,463.8928171403542,0.0,1.0,1.0,0.0
210,E145,BLR,27772215.0,27772280.0,27772184.0,463.8928171403542,0.0,1.0,1.0,0.0
211,E145,BLR,27770775.0,27770840.0,27770771.0,463.8928171403542,0.0,1.0,1.0,0.0
212,E145,BLR,27769440.0,27769500.0,27769445.0,463.8928171403542,0.0,1.0,1.0,0.0
213,E145,BLR,27768160.0,27768225.0,27768161.0,463.8928171403542,0.0,1.0,1.0,0.0
214,E145,BLR,27766560.0,27766620.0,27766473.0,463.8928171403542,0.0,1.0,1.0,0.0
215,E145,BLR,27763840.0,27763905.0,27763908.0,463.8928171403542,0.0,1.0,1.0,0.0
216,E145,BLR,27762135.0,27762200.0,27762192.0,463.8928171403542,0.0,1.0,1.0,0.0
217,E145,BLR,27760695.0,27760760.0,27760621.0,463.8928171403542,0.0,1.0,1.0,0.0
218,E145,BLR,27759360.0,27759420.0,27759376.0,463.8928171403542,0.0,1.0,1.0,0.0
219,E145,BLR,27758080.0,27758145.0,27758109.0,463.8928171403542,0.0,1.0,1.0,0.0
220,E145,BLR,27756480.0,27756540.0,27756570.0,463.8928171403542,0.0,1.0,1.0,0.0
221,E145,BLR,27754935.0,27755000.0,27755081.0,463.8928171403542,0.0,1.0,1.0,0.0
222,E145,BLR,27752055.0,27752120.0,27752107.0,463.8928171403542,0.0,1.0,1.0,0.0
223,E145,BLR,27750615.0,27750680.0,27750627.0,463.8928171403542,0.0,1.0,1.0,0.0
224,E145,BLR,27749280.0,27749340.0,27749178.0,463.8928171403542,0.0,1.0,1.0,0.0
225,E145,BLR,27747784.0,27747784.0,27747733.0,463.8928171403542,0.0,1.0,1.0,0.0
